THEME;STHEME;NOM;NOMMAJ;IDENT;ADRESSE;INFOCOMP;LIEN;X_LONG;Y_LAT
éducation;Ecoles primaires publiques;Ecole Maternelle Jean Monnet;ECOLE MATERNELLE JEAN MONNET;123;rue du Jonc, 33300 Bordeaux;;;-0,574293001732203;44,8727992341853
éducation;Ecoles primaires publiques;Ecole Maternelle Flornoy;ECOLE MATERNELLE FLORNOY;125;248 rue Berruer, 33000 Bordeaux;;;-0,609646812666569;44,8332837675547
éducation;Ecoles primaires publiques;Ecole Elémentaire Flornoy;ECOLE ELEMENTAIRE FLORNOY;126;44 rue Flornoy, 33000 Bordeaux;;;-0,610564897212831;44,83317032475
éducation;Ecoles primaires publiques;Ecole Maternelle Nuits;ECOLE MATERNELLE NUITS;127;31 rue de Nuits, 33100 Bordeaux;;;-0,553716181260891;44,8415386782168
éducation;Enseignement artistique;Rock School Barbey;ROCK SCHOOL BARBEY;128;18 crs Barbey, 33800 Bordeaux;;;-0,56256303289267;44,8274863708908
éducation;Enseignement artistique;Ecole du Cirque;ECOLE DU CIRQUE;129;286 bd Alfred Daney, 33300 Bordeaux;;;-0,561364932424993;44,8715389730358
éducation;Ecoles primaires publiques;Ecole Elémentaire Pins Francs;ECOLE ELEMENTAIRE PINS FRANCS;130;4 rue Jude, 33200 Bordeaux;;;-0,625137360418585;44,858821490874
éducation;Ecoles primaires privées;Ecole maternelle et élémentaire Saint Gabriel;ECOLE MATERNELLE ET ELEMENTAIRE SAINT GABRIEL;131;68 rue Mondenard, 33000 Bordeaux;;;-0,589313097423492;44,8462623799653
éducation;Ecoles primaires publiques;Ecole Maternelle Vaclav Havel;ECOLE MATERNELLE VACLAV HAVEL;133;2 rue XAVIER ARSENE HENRY, 33300 Bordeaux;;;-0,571951303315331;44,8802056716655
éducation;Ecoles primaires publiques;Ecole Elémentaire Jacques Prévert;ECOLE ELEMENTAIRE JACQUES PREVERT;135;45 rue de Talence, 33000 Bordeaux;;;-0,586090060167888;44,8242827042556
éducation;Ecoles primaires publiques;Ecole Maternelle Alphonse Dupeux;ECOLE MATERNELLE ALPHONSE DUPEUX;136;5 rue Alphonse Dupeux, 33000 Bordeaux;;;-0,588716899564366;44,8312758709457
éducation;Ecoles primaires publiques;Ecole Elémentaire David Johnston;ECOLE ELEMENTAIRE DAVID JOHNSTON;137;44 rue David Johnston, 33000 Bordeaux;;;-0,584626774797832;44,8507480245209
