CLE;COMMUNE;DOMANIALITE;NATURE;NOMBRE;OBSERVATIONS;PROPRIETAIRE;QUARTIER;REALISATION;X_LONG;Y_LAT;GEOMETRIE
19529;BORDEAUX;Voirie;Arceau vélo;18;mail central;CUB;3;Réalisé;-0,574734208693159;44,8389134352136;POINT (-0.574734208693159 44.8389134352136)
19530;BORDEAUX;Voirie;Arceau vélo;24;mail central;CUB;3;Réalisé;-0,576912940553229;44,8386965175411;POINT (-0.576912940553229 44.8386965175411)
19538;BORDEAUX;Voirie;Arceau vélo;6;EN FACE COTE JARDIN;VILLE;2;Réalisé;-0,575827044465992;44,8481605410447;POINT (-0.575827044465992 44.8481605410447)
19539;BORDEAUX;Voirie;Arceau vélo;10;en face angle louis;CUB;3;Réalisé;-0,57293814531793;44,8423996535766;POINT (-0.57293814531793 44.8423996535766)
19541;BORDEAUX;Espace ville;Arceau vélo;40;EN FACE DANS PARKING;CUB;2;Réalisé;-0,571878695493223;44,8474134500493;POINT (-0.571878695493223 44.8474134500493)
19542;BORDEAUX;Voirie;Arceau vélo;24;EN FACE ENTREE JARDIN;CUB;2;Réalisé;-0,576588820309418;44,8469347505377;POINT (-0.576588820309418 44.8469347505377)
19546;BORDEAUX;Voirie;Arceau vélo;16;en face dvt souterrain;CUB;3;Réalisé;-0,580370025218292;44,8415416328888;POINT (-0.580370025218292 44.8415416328888)
19550;BORDEAUX;Espace ville;Arceau vélo;12; INTERIEUR PISCINE;CUB;2;Réalisé;-0,580172407995872;44,8575520243081;POINT (-0.580172407995872 44.8575520243081)
19561;BORDEAUX;Voirie;Arceau vélo;48;mail central;VILLE;3;Réalisé;-0,574709714041616;44,8430664631192;POINT (-0.574709714041616 44.8430664631192)
19562;BORDEAUX;Voirie;Arceau vélo;100;pole d echange;CUB;3;Réalisé;-0,574224697561762;44,8442813881928;POINT (-0.574224697561762 44.8442813881928)
19566;BORDEAUX;Voirie;Arceau vélo;6;;VILLE;2;Réalisé;-0,573459491644423;44,8509484814694;POINT (-0.573459491644423 44.8509484814694)
19567;BORDEAUX;Voirie;Arceau vélo;;;VILLE;2;Réalisé;-0,572802074678065;44,8527479347068;POINT (-0.572802074678065 44.8527479347068)
19568;BORDEAUX;Voirie;Arceau vélo;6;;VILLE;2;Réalisé;-0,572448828864921;44,8537923325158;POINT (-0.572448828864921 44.8537923325158)
19569;BORDEAUX;Voirie;Arceau vélo;6;public;CUB;1;Réalisé;-0,573391612047597;44,8640966464834;POINT (-0.573391612047597 44.8640966464834)
19570;BORDEAUX;Etablissement public;Arceau vélo;20;EN FACE DANS ECOLE;CUB;2;Réalisé;-0,577524873559771;44,8586169602163;POINT (-0.577524873559771 44.8586169602163)
19571;BORDEAUX;Voirie;Arceau vélo;24;MAIRIE DE QUARTIER;VILLE;2;Réalisé;-0,581391237541876;44,8589118236961;POINT (-0.581391237541876 44.8589118236961)
19572;BORDEAUX;Voirie;Arceau vélo;10;JARDIN ENTREE LONGCHAMPS;CUB;2;Réalisé;-0,58177151626408;44,8500777205314;POINT (-0.58177151626408 44.8500777205314)
19577;BORDEAUX;Voirie;Arceau vélo;8;en face;CUB;3;Réalisé;-0,573257377710843;44,8402652647162;POINT (-0.573257377710843 44.8402652647162)
19578;BORDEAUX;Voirie;Arceau vélo;8;en face;CUB;3;Réalisé;-0,584850762028577;44,8428094341225;POINT (-0.584850762028577 44.8428094341225)
19579;BORDEAUX;Voirie;Arceau vélo;8;en face;CUB;3;Réalisé;-0,585388180099483;44,8421655399139;POINT (-0.585388180099483 44.8421655399139)
19580;BORDEAUX;Voirie;Arceau vélo;6;en face;CUB;3;Réalisé;-0,58492589636428;44,8420330918272;POINT (-0.58492589636428 44.8420330918272)
19583;BORDEAUX;Voirie;Arceau vélo;6;PLACETTE;VILLE;2;Réalisé;-0,574526936578752;44,854595463426;POINT (-0.574526936578752 44.854595463426)
19589;BORDEAUX;Voirie;Arceau vélo;14;TRAM;CUB;2;Réalisé;-0,575144445209686;44,8499606227855;POINT (-0.575144445209686 44.8499606227855)
19596;BORDEAUX;Voirie;Arceau vélo;8;;VILLE;1;Réalisé;-0,560050495021577;44,8577772192269;POINT (-0.560050495021577 44.8577772192269)
19597;BORDEAUX;Voirie;Arceau vélo;;;VILLE;3;Réalisé;-0,571104316593623;44,8415080394817;POINT (-0.571104316593623 44.8415080394817)
19600;BORDEAUX;Voirie;Arceau vélo;8;public;CUB;1;Réalisé;-0,544279792699888;44,8776472515817;POINT (-0.544279792699888 44.8776472515817)
19604;BORDEAUX;Voirie;Arceau vélo;20;anpe meriadeck;VILLE;3;Réalisé;-0,588131370946138;44,8382499099627;POINT (-0.588131370946138 44.8382499099627)
