CLE;NOM;SITUATION;TYPE_PUBLIC;CP;OPERATEUR;ADRESSE;NB_POSTES;PAYANT;TYPE_ACCES;FORMATION;X_LONG;Y_LAT;GEOMETRIE;NUM_QUARTIER
302;Bibliothèque Grand Parc;Externe;Tous;33000;Ville;;;NON;Wifi;non;-0,584254984261177;44,8578601494929;POINT (-0.584254984261177 44.8578601494929);2
303;11 Louis de Jabrun – Point info familles;Interne;Tous;33000;Ville;11 Rue du Père Louis Jabrun;1;NON;Poste libre service;non;-0,576620048679785;44,8395591065173;POINT (-0.576620048679785 44.8395591065173);3
305;Place Victoire 2;Externe;Tous;33000;Ville;;;NON;Wifi;non;-0,572865956295554;44,8309830857822;POINT (-0.572865956295554 44.8309830857822);6
306;Mirroir Eau Sud 2;Externe;Tous;33000;Ville;;;NON;Wifi;non;-0,569200241364265;44,8410140620273;POINT (-0.569200241364265 44.8410140620273);3
307;Mirroir Eau Sud 1;Externe;Tous;33000;Ville;;;NON;Wifi;non;-0,569200241364265;44,8410140620273;POINT (-0.569200241364265 44.8410140620273);3
308;MEC Parvis 2;Externe;Tous;33000;Ville;;;NON;Wifi;non;-0,567515736723729;44,8392620546689;POINT (-0.567515736723729 44.8392620546689);3
309;Martinique;Externe;Tous;33000;Ville;;;NON;Wifi;non;-0,567433896865495;44,8524016896823;POINT (-0.567433896865495 44.8524016896823);2
310;Mirroir Eau Nord 1;Externe;Tous;33000;Ville;;;NON;Wifi;non;-0,569721776676866;44,8422218729537;POINT (-0.569721776676866 44.8422218729537);3
311;Mirroir Eau Nord 2;Externe;Tous;33000;Ville;;;NON;Wifi;non;-0,569721776676866;44,8422218729537;POINT (-0.569721776676866 44.8422218729537);3
312;Place Camille Julian;Externe;Tous;33000;Ville;;;NON;Wifi;non;-0,571903305826729;44,8391103676243;POINT (-0.571903305826729 44.8391103676243);3
313;Bibliothèque Bastide;Externe;Tous;33000;Ville;;;NON;Wifi;;-0,542220092867005;44,8440508455854;POINT (-0.542220092867005 44.8440508455854);7
315;Place Victoire 1;Externe;Tous;33000;Ville;;;NON;Wifi;non;-0,572389982423059;44,8307985828337;POINT (-0.572389982423059 44.8307985828337);6
316;Place Jean Moulin;Externe;Tous;33000;Ville;;;NON;Wifi;non;-0,577503495803707;44,8386324349361;POINT (-0.577503495803707 44.8386324349361);3
318;Pey Berland Forges;Externe;Tous;33000;Ville;;;NON;Wifi;non;-0,57614629380538;44,8379430250813;POINT (-0.57614629380538 44.8379430250813);3
319;Pey Berland HDV1;Externe;Tous;33000;Ville;;;NON;Wifi;non;-0,578910265324865;44,837711742468;POINT (-0.578910265324865 44.837711742468);3
327;DGA;Interne;Tous;33000;Ville;57 cours Pasteur;1;NON;Poste libre service;non;-0,574432450345082;44,8336437547877;POINT (-0.574432450345082 44.8336437547877);6
328;Mission de l'europe;Interne;Tous;33000;Ville;1 Place Jean Jaurès;1;NON;Poste libre service;non;-0,57107243117208;44,8428045490531;POINT (-0.57107243117208 44.8428045490531);3
329;Hotel de Ville;Interne;Tous;33000;Ville;Place Pey Berland;2;NON;Poste libre service;non;-0,579334526052336;44,8381751334157;POINT (-0.579334526052336 44.8381751334157);3
330;Club Senior Magendie;Interne;Seniors;33000;Ville;45 rue Magendie;4;OUI;Poste libre service;oui;-0,575700287391315;44,8332183324786;POINT (-0.575700287391315 44.8332183324786);6
331;Club Senior Billaudel;Interne;Seniors;33000;Ville;112 bis rue Malbec;4;OUI;Poste libre service;oui;-0,564587482367892;44,824042601314;POINT (-0.564587482367892 44.824042601314);6
332;Club Senior Lumineuse;Interne;Seniors;33000;Ville;196 rue Achard;4;OUI;Poste libre service;oui;-0,54612814234151;44,8732525681827;POINT (-0.54612814234151 44.8732525681827);1
333;Atelier du Pole Brach;Interne;Seniors;33000;Ville;33 rue de Brach;5;OUI;Poste libre service;oui;-0,594615831920461;44,8390063085784;POINT (-0.594615831920461 44.8390063085784);3
334;Bibliothèque St Michel;Interne;Tous;33000;Ville;10-12 place des Capucins;4;NON;Poste libre service;non;-0,566911648044833;44,8308409214513;POINT (-0.566911648044833 44.8308409214513);6
335;Bibliothèque St Augustin;Interne;Tous;33000;Ville;9-11 Allée des Peupliers;2;NON;Poste libre service;non;-0,610846175573378;44,8317669819592;POINT (-0.610846175573378 44.8317669819592);4
336;Bibliothèque Bastide;Interne;Tous;33000;Ville;18-22 rue Alexander Fleming;6;NON;Poste libre service;non;-0,542122327198918;44,8441809608696;POINT (-0.542122327198918 44.8441809608696);7
337;Mairie annexe St Augustin;Interne;Tous;33000;Ville;Place de l'Eglise Saint Augustin;1;NON;Poste libre service;non;-0,611203453401391;44,8329617080137;POINT (-0.611203453401391 44.8329617080137);4
961;Chartron Marche;Externe;Tous;33000;Ville;;;NON;Wifi;;-0,572605659172594;44,8520594063995;POINT (-0.572605659172594 44.8520594063995);2
962;EBA;Externe;Tous;33000;Ville;;;NON;Wifi;;-0,560807267688721;44,8307465140602;POINT (-0.560807267688721 44.8307465140602);6
963;Chartron Halle;Externe;Tous;33000;Ville;;;NON;Wifi;;-0,572446978093307;44,8524145706;POINT (-0.572446978093307 44.8524145706);2
964;Grand Parc Centre Commercial;Externe;Tous;33000;Ville;;;NON;Wifi;;-0,582288048099357;44,8599395812081;POINT (-0.582288048099357 44.8599395812081);2
965;EBA Annexe;Externe;Tous;33000;Ville;;;NON;Wifi;;-0,561617879610019;44,8306800957878;POINT (-0.561617879610019 44.8306800957878);6
1010;Quai Sport Maison Jardinier;Externe;Tous;;Ville;;;NON;Wifi;;-0,558416750698445;44,8321808329079;POINT (-0.558416750698445 44.8321808329079);6
