THEME;STHEME;NOM;NOMMAJ;IDENT;ADRESSE;INFOCOMP;LIEN;X_LONG;Y_LAT
services;Services municipaux;Mairie de quartier Centre;MAIRIE DE QUARTIER CENTRE;333;19 rue Père Louis de Jabrun, 33000 Bordeaux;;;-0,576473963962176;44,8391722475163
services;Services municipaux;Mairie de quartier Grand Parc - Paul Doumer / Salle du Grand Parc;MAIRIE DE QUARTIER GRAND PARC   PAUL DOUMER / SALLE DU GRAND PARC;335;pce de l'Europe, 33300 Bordeaux;;;-0,581662512278139;44,8588278248397
services;Marchés;Point ambulant René Maran;POINT AMBULANT RENE MARAN;1053;place René Maran, 33300 Bordeaux;;;-0,552922832865945;44,8755181833746
services;Services municipaux;Boite à lire Martyrs de la Résistance;BOITE A LIRE MARTYRS DE LA RESISTANCE;350;pce des Martyrs de la Résistance, 33000 Bordeaux;;;-0,584135504363048;44,8419180010666
services;Services municipaux;Mairie de quartier St Augustin - Tauzin - Alphonse Dupeux;MAIRIE DE QUARTIER ST AUGUSTIN - TAUZIN - ALPHONSE DUPEUX;352;2 rue de Cantenac, 33000 Bordeaux;;;-0,61116565826689;44,8330379505253
services;Services municipaux;Boite à lire Simiot;BOITE A LIRE SIMIOT;239;pce Simiot, 33800 Bordeaux;;;-0,577601923582269;44,8230472358663
services;Marchés;Marché Pey-Berland;MARCHE PEY BERLAND;240;place Pey Berland, 33000 Bordeaux;;;-0,576755706239224;44,837827003262
services;Services municipaux;Archives Bordeaux Métropole;ARCHIVES BORDEAUX METROPOLE;241;71 parvis des archives, 33000 Bordeaux;;;-0,553711292430094;44,8470277999255
services;Services municipaux;Boite à lire Linné;BOITE A LIRE LINNE;242;ESPLANADE LINNE, 33100 Bordeaux;;;-0,558928994964873;44,8445778389579
services;Marchés;Marché des bouquinistes;MARCHE DES BOUQUINISTES;243;place des Grands Hommes, 33000 Bordeaux;;;-0,577537713666743;44,8428588278169
services;Services municipaux;Salle Son Tay;SALLE SON TAY;244;47 rue de Son Tay, 33800 Bordeaux;;;-0,551785991648534;44,8249917317115
services;Marchés;Marché biologique des quais;MARCHE BIOLOGIQUE DES QUAIS;245;quai des Chartrons, 33000 Bordeaux;;;-0,569429254443178;44,8500863308005
services;Marchés;Marché Gaviniès;MARCHE GAVINIES;246;place Gaviniès, 33000 Bordeaux;;;-0,593797650759427;44,8330489945994
services;Services municipaux;Boite à lire Maison cantonale;BOITE A LIRE MAISON CANTONALE;247;rue de Châteauneuf, 33100 Bordeaux;;;-0,553243151206588;44,8414424463707
services;Marchés;Marché Chartrons;MARCHE CHARTRONS;248;rue Sicard, 33000 Bordeaux;;;-0,572385652441936;44,8520110029462
services;Marchés;Marché de la Lumineuse;MARCHE DE LA LUMINEUSE;249;rue Achard, 33300 Bordeaux;;;-0,546567769610619;44,8725706816828
services;Marchés;Marché des Capucins (plein air);MARCHE DES CAPUCINS;250;pce des Capucins, 33800 Bordeaux;;;-0,567228552086396;44,8300543896571
services;Marchés;Marché Saint Victor - Dupeux;MARCHE SAINT VICTOR   DUPEUX;251;pce Arlac, 33000 Bordeaux;;;-0,588414148371775;44,8307882779734
services;Marchés;Marché Calixte Camelle;MARCHE CALIXTE CAMELLE;252;pce Calixte Camelle, 33100 Bordeaux;;;-0,550010030307075;44,8428648453426
services;Services municipaux;Athénée Père Joseph Wresinski;ATHENEE PERE JOSEPH WRESINSKI;253;PLACE SAINT CHRISTOLY, 33000 Bordeaux;;;-0,577066813575453;44,8397551348796
services;Services municipaux;Direction des Achats et Marchés;DIRECTION DES ACHATS ET MARCHES;254;6  Rohan, 33000 Bordeaux;;;-0,579361463304491;44,8372930914343
services;Marchés;Marché Neuf;MARCHE NEUF;255;place Canteloup et Meynard, 33800 Bordeaux;;;-0,565808748432821;44,834509486202
services;Services municipaux;Atelier Informatique;ATELIER INFORMATIQUE;256;17 rue Causserouge, 33000 Bordeaux;;;-0,570554406407709;44,8332376968981
services;Services municipaux;Pôle technique municipal;POLE TECHNIQUE MUNICIPAL;927;85-87 boulevard Alfred Daney,  Bordeaux;;;-0,571377355822913;44,8680782164796
services;Services municipaux;Annexe mairie de quartier Grand Parc - Paul Doumer;ANNEXE MAIRIE DE QUARTIER GRAND PARC - PAUL DOUMER;946;89 rue Fondaudège, 33000 Bordeaux;;;-0,581336309122116;44,8476847002843
services;Services municipaux;Cité municipale;CITE MUNICIPALE;991;4 rue Claude Bonnier, 33077 Bordeaux;;;-0,581940302490375;44,8382546883646
services;Marchés;Marché Pouyanne;MARCHE POUYANNE;995;parvis Louis et Henri Pouyanne, 33000 Bordeaux;;;-0,577772713425404;44,8250836011734
services;Marchés;Marché Saint Augustin;;1000;place de l'Eglise Saint Augustin, 33000 Bordeaux;;;-0,610921087845461;44,832775305603
services;Marchés;Marché des Capucins (couvert);MARCHE DES CAPUCINS (COUVERT);1007;place des Capucins, 33800 Bordeaux;;;-0,567709203895385;44,8305189115768
services;Marchés;Marché Marie Brizard;MARCHE MARIE BRIZARD;1012;place Marie Brizard, 33000 Bordeaux;;;-0,585719001589454;44,8500575163413
services;Marchés;Marché Saint Martial;MARCHE SAINT MARTIAL;1016;place Saint Martial, 33300 Bordeaux;;;-0,565705739936691;44,8588857712845
services;Marchés;Marché des bouquinistes;MARCHE DES BOUQUINISTES;1020;place du marché des Chartrons, 33000 Bordeaux;;;-0,572469377482487;44,8523930229474
services;Services municipaux;Maison écocitoyenne;MAISON ECOCITOYENNE;978;quai Richelieu, 33000 Bordeaux;;;-0,567102518521291;44,8387480472717
services;Services municipaux;Mairie de quartier Bordeaux Sud;MAIRIE DE QUARTIER BORDEAUX SUD;1051;rue Saint Vincent de Paul, 33800 Bordeaux;;;-0,55820346310275;44,8270612716625
services;Services municipaux;Annexe de la mairie de quartier Bordeaux Sud;ANNEXE DE LA MAIRIE DE QUARTIER BORDEAUX SUD;1052;13 place Canteloup, 33000 Bordeaux;;;-0,565741241408244;44,8338038383195
