THEME;STHEME;NOM;NOMMAJ;IDENT;ADRESSE;INFOCOMP;LIEN;X_LONG;Y_LAT
santé social;Centres médico-scolaires;Centre médico-scolaire Gouffrand;CENTRE MEDICO SCOLAIRE GOUFFRAND;409;9 rue Gouffrand, 33300 Bordeaux;;;-0,572498557225671;44,855555912368
santé social;Maisons de quartier;Maison de quartier US Chartrons;MAISON DE QUARTIER US CHARTRONS;410;9 pce Saint Martial, 33300 Bordeaux;;;-0,564792405365424;44,8584327636791
santé social;Centres médico-sociaux;Centre médico-social Bordeaux Centre;CENTRE MEDICO SOCIAL BORDEAUX CENTRE;414;14 rue Poitevin, 33000 Bordeaux;;;-0,583246769506484;44,8456683126775
santé social;Maisons de quartier;Maison de quartier de La Bastide;MAISON DE QUARTIER DE LA BASTIDE;415;13 all Jean Giono, 33100 Bordeaux;;;-0,562898108581132;44,845495901338
santé social;Centres médico-sociaux;Centre médico-social Saint-Jean;CENTRE MEDICO SOCIAL SAINT JEAN;416;15 rue Belle Etoile, 33800 Bordeaux;;;-0,559296291934806;44,8287208111121
santé social;Centres médico-sociaux;Centre médico-social Bordeaux-Lac;CENTRE MEDICO SOCIAL BORDEAUX LAC;417;47 rue Charles Tournemire, 33300 Bordeaux;;;-0,572766583542513;44,8731707850223
santé social;Centres médico-sociaux;Centre médico-social Caudéran;CENTRE MEDICO SOCIAL CAUDERAN;423;88 rue Bellus Mareilhac, 33200 Bordeaux;;;-0,619661904458151;44,8554407430415
santé social;Maisons de quartier;Maison de quartier Chantecler;MAISON DE QUARTIER CHANTECLER;424;2 imp Sainte Elisabeth, 33000 Bordeaux;;;-0,57665847597867;44,8539294693791
santé social;Centres médico-sociaux;Centre médico-social Grand Parc;CENTRE MEDICO SOCIAL GRAND PARC;426;6 rue Cazalis, 33300 Bordeaux;;;-0,576671470650194;44,8552077743152
santé social;Maisons de quartier;Maison polyvalente Sarah Bernhardt;MAISON POLYVALENTE SARAH BERNHARDT;951;33 cours du Québec, 33000 Bordeaux;;;-0,57091009968541;44,8794056552081
