X_LONG;Y_LAT;Geo Shape;nom;num_station;nb_bornettes;En_service;M_en_S_16_nov_07;street;Mot_Directeur;No;Nrivoli;commune;code_insee;
43,6010480572;1,4203478302;"{""type"": ""Point"", ""coordinates"": [1.420347830199796, 43,60104805722361]}";BRUNHES FONTAINES;137;20;oui;2008;BD JEAN BRUNHES;BRUNHES (BD JEAN BRUNHES);45;3105554524;Toulouse;31555
43,5955021251;1,4184399276;"{""type"": ""Point"", ""coordinates"": [1.418439927597211, 43,59550212507627]}";BARRIERE DE LOMBEZ;139;20;oui;2008;AV DE LOMBEZ;LOMBEZ (AV DE LOMBEZ);39;3105555308;Toulouse;31555
43,5829164338;1,44859626286;"{""type"": ""Point"", ""coordinates"": [1.448596262859481, 43,582916433800435]}";URSS RECOLLETS;157;18;oui;2008;AV DE L URSS;URSS (AV DE L URSS);16B;3105558660;Toulouse;31555
43,5808838995;1,4491600192;"{""type"": ""Point"", ""coordinates"": [1.449160019201381, 43,580883899518405]}";URSS ST THOMAS D AQUIN;158;20;oui;2008;AV DE L URSS;URSS (AV DE L URSS);55;3105558660;Toulouse;31555
43,5732974533;1,452480141;"{""type"": ""Point"", ""coordinates"": [1.452480141003065, 43,573297453277725]}";THEATRE JULES JULIEN;160;17;oui;2008;AV DES ECOLES JULES JULIEN;JULIEN (AV DES ECOLES JULES JULIEN);21;3105552860;Toulouse;31555
43,5766426282;1,45484622844;"{""type"": ""Point"", ""coordinates"": [1.454846228441906, 43,57664262821756]}";RANGUEIL BEDOUCE;161;16;oui;2008;AV DE RANGUEIL;RANGUEIL (AV DE RANGUEIL);35;3105557268;Toulouse;31555
43,639867049;1,45228507178;"{""type"": ""Point"", ""coordinates"": [1.452285071778556, 43,639867048998525]}";METRO BOURGES MAUNOURY;175;30;oui;2008;AV MAURICE BOURGES MAUNOURY;MAUNOURY (AV MAURICE BOURGES MAUNOURY);0;3105555789;Toulouse;31555
43,616950373;1,47362082296;"{""type"": ""Point"", ""coordinates"": [1.473620822963544, 43,61695037296325]}";CASSAING PLANA;179;17;oui;2008;CHE CASSAING;CASSAING (CHE CASSAING);4;3105551744;Toulouse;31555
43,6122298512;1,47754712628;"{""type"": ""Point"", ""coordinates"": [1.477547126284992, 43,61222985121447]}";PLACE SOUPETARD;180;15;oui;2008;PL DE SOUPETARD;SOUPETARD (PL DE SOUPETARD);3;3105558300;Toulouse;31555
43,6272417169;1,46929476642;"{""type"": ""Point"", ""coordinates"": [1.469294766418546, 43,627241716869136]}";MICHOUN LIPPMAN;184;18;oui;2008;CHE MICHOUN;MICHOUN (CHE MICHOUN);70;3105555932;Toulouse;31555
43,627195343;1,465605434;"{""type"": ""Point"", ""coordinates"": [1.465605434002923, 43,627195343014336]}";ROUBICHOU ARLES;185;15;oui;2008;RUE ROUBICHOU;ROUBICHOU (RUE ROUBICHOU);30;3105557648;Toulouse;31555
43,5842932421;1,42755810868;"{""type"": ""Point"", ""coordinates"": [1.427558108678206, 43,584293242148426]}";MURET LAFAGE;188;18;oui;2008;AV DE MURET;MURET (AV DE MURET);121;3105556160;Toulouse;31555
43,5973230445;1,45896112629;"{""type"": ""Point"", ""coordinates"": [1.458961126285945, 43,59732304451955]}";LAROUSSE RIEUX;195;20;oui;2008;AV JEAN RIEUX;RIEUX (AV JEAN RIEUX);4;3105554652;Toulouse;31555
43,5790375975;1,48362912376;"{""type"": ""Point"", ""coordinates"": [1.483629123757913, 43,57903759753108]}";PLACE DE L ORMEAU;200;20;oui;2008;AV JEAN RIEUX;RIEUX (AV JEAN RIEUX);345;3105554652;Toulouse;31555
43,5868580242;1,46318435937;"{""type"": ""Point"", ""coordinates"": [1.463184359368428, 43,58685802419848]}";PL ROGER ARNAUD;204;18;oui;2008;PL ROGER ARNAUD;ARNAUD (PL ROGER ARNAUD);1;3105557568;Toulouse;31555
43,5833549065;1,48194817912;"{""type"": ""Point"", ""coordinates"": [1.481948179118739, 43,583354906511474]}";CHRIST ROI;207;17;oui;2008;RUE DE L AUDE;AUDE (RUE DE L AUDE);25;3105550616;Toulouse;31555
43,5860888183;1,48294081417;"{""type"": ""Point"", ""coordinates"": [1.482940814172811, 43,586088818316725]}";FIRMIS;210;18;oui;2008;CHE DE LA TERRASSE;TERRASSE (CHE DE LA TERRASSE);42;3105558436;Toulouse;31555
43,5834787296;1,48776554506;"{""type"": ""Point"", ""coordinates"": [1.487765545057768, 43,5834787295604]}";LE DORMEUR LA TERRASSE;211;18;oui;2008;RUE LE DORMEUR;DORMEUR (RUE LE DORMEUR);9;3105552746;Toulouse;31555
43,5962276711;1,4734540058;"{""type"": ""Point"", ""coordinates"": [1.473454005797943, 43,59622767111032]}";LAFILAIRE DELTOUR;198;20;oui;2008;CHE DE LAFILAIRE;LAFILAIRE (CHE DE LAFILAIRE);25;3105554932;Toulouse;31555
43,5692062094;1,45634916182;"{""type"": ""Point"", ""coordinates"": [1.45634916182147, 43,56920620937197]}";NARBONNE MIROUSE;232;18;oui;2008;RTE DE NARBONNE;NARBONNE (RTE DE NARBONNE);64;3105556196;Toulouse;31555
43,6280995744;1,45149691293;"{""type"": ""Point"", ""coordinates"": [1.451496912926339, 43,628099574432326]}";LOUIN RAYNAL;234;17;oui;2008;RUE PIERRETTE LOUIN;LOUIN (RUE PIERRETTE LOUIN);4;3105556921;Toulouse;31555
