X_LONG;Y_LAT;Geo Shape;index;type_petanque;ID
43,6360737911;1,46279824268;"{""type"": ""Point"", ""coordinates"": [1.462798242679176, 43,63607379109805]}";Croix Daurade;O/N;56
43,6269999479;1,42797636711;"{""type"": ""Point"", ""coordinates"": [1.427976367114643, 43,62699994790432]}";Duchein;N;57
43,6462339974;1,43200700086;"{""type"": ""Point"", ""coordinates"": [1.432007000864445, 43,646233997419294]}";Lalande Cimetière;N;58
43,6202899621;1,43472032099;"{""type"": ""Point"", ""coordinates"": [1.434720320985936, 43,620289962093096]}";Le Cochonnet;N;59
43,6025349995;1,46701100319;"{""type"": ""Point"", ""coordinates"": [1.467011003188578, 43,602534999501444]}";Pinel;N;60
43,583502001;1,40950500277;"{""type"": ""Point"", ""coordinates"": [1.409505002769069, 43,58350200102688]}";Bagatelle - Jo Bargas;N;61
43,5853600009;1,39443999672;"{""type"": ""Point"", ""coordinates"": [1.394439996715596, 43,58536000091392]}";Fronde;N;62
43,5930460002;1,41199199634;"{""type"": ""Point"", ""coordinates"": [1.411991996344368, 43,59304600023044]}";Victor Garcia;O/N;63
43,5626470032;1,41397299778;"{""type"": ""Point"", ""coordinates"": [1.413972997782582, 43,562647003191344]}";Gironis;O/N;64
43,5897739973;1,37867299623;"{""type"": ""Point"", ""coordinates"": [1.378672996230102, 43,58977399727242]}";Lardenne;N;65
43,5801229976;1,40108599841;"{""type"": ""Point"", ""coordinates"": [1.401085998407749, 43,58012299761126]}";Lou Bosc;N;66
43,5831520029;1,48515699841;"{""type"": ""Point"", ""coordinates"": [1.485156998410419, 43,58315200289452]}";Emilien Colombies - La Terrasse;N;67
43,6012350021;1,43918300425;"{""type"": ""Point"", ""coordinates"": [1.439183004246697, 43,601235002056676]}";Port de la Daurade;N;68
43,5757350011;1,4549390028;"{""type"": ""Point"", ""coordinates"": [1.454939002804115, 43,5757350010788]}";Léon Viala;O/N;69
43,6215790018;1,47707799925;"{""type"": ""Point"", ""coordinates"": [1.477077999246588, 43,621579001840495]}";Argoulets;N;70
43,6108239979;1,4600740034;"{""type"": ""Point"", ""coordinates"": [1.460074003395784, 43,61082399790528]}";Parc Merican;N;71
43,5707180018;1,48296199644;"{""type"": ""Point"", ""coordinates"": [1.482961996442001, 43,57071800184058]}";Complexe Montaudran;N;72
43,6493386498;1,46273234871;"{""type"": ""Point"", ""coordinates"": [1.462732348714381, 43,64933864981566]}";Paleficat (×2);N;73
43,5798634753;1,41063756477;"{""type"": ""Point"", ""coordinates"": [1.410637564773255, 43,57986347532422]}";Bagatelle Parc;N;74
43,6182854105;1,45252362587;"{""type"": ""Point"", ""coordinates"": [1.452523625871173, 43,61828541046734]}";Lapujade Bonnefoy;N;75
43,6198379975;1,47066499692;"{""type"": ""Point"", ""coordinates"": [1.470664996921067, 43,619837997524115]}";René Canizzo - La Roseraie;O/N;76
43,562260843;1,39654999892;"{""type"": ""Point"", ""coordinates"": [1.396549998920737, 43,56226084295628]}";Bellefontaine;N;77
43,6053559983;1,41191799875;"{""type"": ""Point"", ""coordinates"": [1.411917998748599, 43,605355998257735]}";Fontaine;N;78
43,5691460033;1,39905500409;"{""type"": ""Point"", ""coordinates"": [1.399055004088243, 43,569146003288736]}";La Reynerie;N;79
43,5705725594;1,41271366087;"{""type"": ""Point"", ""coordinates"": [1.412713660871087, 43,570572559401455]}";Tabar;N;80
43,5954790021;1,43618799997;"{""type"": ""Point"", ""coordinates"": [1.43618799997435, 43,59547900209177]}";La Digue Fer à Cheval;N;81
43,6096869973;1,43778000184;"{""type"": ""Point"", ""coordinates"": [1.437780001836651, 43,609686997331984]}";Quêteurs;N;82
43,6034769985;1,45575500192;"{""type"": ""Point"", ""coordinates"": [1.455755001916952, 43,60347699852341]}";Saint Aubin;N;83
43,6050051386;1,42476744661;"{""type"": ""Point"", ""coordinates"": [1.424767446609763, 43,605005138628414]}";Bazacle;O/N;84
43,5492659968;1,45391799695;"{""type"": ""Point"", ""coordinates"": [1.453917996951601, 43,54926599678454]}";Michel Sardaing;N;85
43,5664203832;1,39404487218;"{""type"": ""Point"", ""coordinates"": [1.394044872175407, 43,566420383214364]}";Bouillières;N;86
