Entité Juridique;Décision budgétaire;Exercice;Entité Financière;Nomenclature comptable;Type de mouvements;Section;Chapitre budgétaire;Libellé Chapitre budgétaire;Chapitre par nature;Libellé chapitre par nature;Nature comptable;Libellé Nature comptable;Fonction;Libellé Fonction;Mt Dépenses;Mt Recettes
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;012;Charges de personnel et frais assimilés;64884;CHARGES DIVERSES - PARTICIPATION TRANSPORTS;831;Aménagement des eaux;30;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;012;Charges de personnel et frais assimilés;64885;Charges diverses - participation chèques déjeuner;021;Assemblée locale;9584;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;012;Charges de personnel et frais assimilés;64885;Charges diverses - participation chèques déjeuner;022;Administration générale de l'Etat;61274;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;012;Charges de personnel et frais assimilés;64885;Charges diverses - participation chèques déjeuner;213;Classes regroupées;22704;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;012;Charges de personnel et frais assimilés;64885;Charges diverses - participation chèques déjeuner;255;Classes de découverte et autres services annexes de l'enseignement;22444;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;012;Charges de personnel et frais assimilés;64885;Charges diverses - participation chèques déjeuner;413;Piscines;761;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;012;Charges de personnel et frais assimilés;64885;Charges diverses - participation chèques déjeuner;510;Services communs;53122;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;012;Charges de personnel et frais assimilés;64885;Charges diverses - participation chèques déjeuner;520;Services communs;95657;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;012;Charges de personnel et frais assimilés;64885;Charges diverses - participation chèques déjeuner;814;Eclairage public;37544;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;012;Charges de personnel et frais assimilés;64885;Charges diverses - participation chèques déjeuner;823;Espaces verts urbains;290870;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;012;Charges de personnel et frais assimilés;64885;Charges diverses - participation chèques déjeuner;824;Autres opérations d'aménagement urbain;120915;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;65;Autres charges de gestion courante;65;Autres charges de gestion courante;651;Redevances pour concessions, brevets, licences, procédés, logiciels, droits et valeurs similaires;64;Crèches et garderies;160;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;65;Autres charges de gestion courante;65;Autres charges de gestion courante;6554;Contributions aux organismes de regroupement;322;Musées;2070000;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;65;Autres charges de gestion courante;65;Autres charges de gestion courante;6554;Contributions aux organismes de regroupement;524;Autres services;95000;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;65;Autres charges de gestion courante;65;Autres charges de gestion courante;657363;Subventions de fonctionnement aux établissements et services rattachés à caractère administratif;313;Théâtres;1203661;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;65;Autres charges de gestion courante;65;Autres charges de gestion courante;65738;Subventions de fonctionnement aux autres organismes publics;422;Autres activités pour les jeunes;336000;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;65;Autres charges de gestion courante;65;Autres charges de gestion courante;65738;Subventions de fonctionnement aux autres organismes publics;64;Crèches et garderies;594000;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;65;Autres charges de gestion courante;65;Autres charges de gestion courante;6574 ;Subventions de fonctionnement aux associations et autres personnes droit privé;213;Classes regroupées;4950880;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;65;Autres charges de gestion courante;65;Autres charges de gestion courante;6574 ;Subventions de fonctionnement aux associations et autres personnes droit privé;23;Enseignement supérieur;40000;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;65;Autres charges de gestion courante;65;Autres charges de gestion courante;6574 ;Subventions de fonctionnement aux associations et autres personnes droit privé;30;Services communs;1021085;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;65;Autres charges de gestion courante;65;Autres charges de gestion courante;6574 ;Subventions de fonctionnement aux associations et autres personnes droit privé;40;Services communs;6691238;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;65;Autres charges de gestion courante;65;Autres charges de gestion courante;65741;subv pers dt privé-drh-cosat;01;Opérations non ventilables;28319;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;65;Autres charges de gestion courante;65;Autres charges de gestion courante;65741;subv pers dt privé-drh-cosat;112;Police municipale;113657;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;65;Autres charges de gestion courante;65;Autres charges de gestion courante;65741;subv pers dt privé-drh-cosat;213;Classes regroupées;96519;0
