Code;Libelle;adresse_postale;Y_LAT;X_LONG;Acces_Tan;Jeux;Mobilier_pique_nique;Pataugeoire;Point_d_eau;Sanitaires;Abris;Acces_handicap_y_compris_sanitai;Collection_vegetale;Gardien;Chien_interdit_en_laisse;Jardin_clos;Surface_hors_batiments;Commentaire
214;Aire de jeux des renards;Rues stéphane leduc - de la petite sensive - de rome - des renards - dorsay;47,2578;-1,55923;Riviere lignes 72 83 86;OUI;OUI;NON;NON;NON;NON;NON;;NON;NON;OUI;28030;
1521;Espace de jeux de belle ile;Rue coetquelfen;47,2453;-1,54166;Bonneville ligne 52;OUI;OUI;NON;NON;NON;NON;OUI;;NON;NON;NON;2791;
1846;Parc pablo picasso;Mail pablo picasso;47,2149;-1,53688;Allier lignes 24 56 a;OUI;OUI;NON;NON;NON;NON;OUI;;NON;NON;OUI;1605;
519;Square psalette;Cours st pierre - impasse st laurent - impasse de la psalette;47,218;-1,55036;Saint pierre lignes 11 12 21 22 23 c lu;OUI;NON;NON;NON;NON;NON;NON;;NON;NON;OUI;2387;
518;Douves du château des ducs;Rue des etats;47,2163;-1,54916;Bouffay ligne 1;NON;NON;NON;NON;NON;NON;NON;;NON;NON;NON;16410;
1507;Square saint pasquier;Place emile fritsch;47,2288;-1,56601;Leon say ligne 51;NON;NON;NON;NON;OUI;NON;OUI;;NON;NON;NON;395;
29;Jardin confluent;Rue dos d'ane;47,1969;-1,5448;Pirmil lignes 2 3;NON;NON;NON;NON;NON;NON;NON;;NON;NON;NON;28040;
1599;Square félix thomas;Rue toulmouche - rue félix thomas;47,2311;-1,55332;Saint félix ligne 2;OUI;NON;NON;NON;NON;NON;OUI;;NON;OUI;OUI;1796;
1297;Parc potager croissant;Avenue jacques auneau - rue des clématites;47,2355;-1,52541;Bois robillard ligne 11;OUI;OUI;NON;OUI;NON;NON;OUI;;NON;NON;NON;22320;
1060;Place wattignies;Place wattignies - rue de l'echappée - rue petite biesse;47,2038;-1,54795;Wattignies lignes 2 3;NON;NON;NON;NON;NON;NON;NON;;NON;NON;NON;2753;
1638;Square pilotière;Boulevard de la pilotière - boulevard jules verne;47,245;-1,52471;Platanes ligne 23;OUI;NON;NON;NON;NON;NON;NON;;NON;NON;OUI;3792;
1622;Parc potager amande;Boulevard albert einstein;47,2631;-1,57095;Einstein ligne d 73;NON;NON;NON;NON;NON;NON;NON;;NON;NON;NON;84670;
1725;Square hongrie;Rue de hongrie - rue de chypre;47,2164;-1,52407;Hongrie lignes 56 58 a;OUI;NON;NON;NON;NON;NON;OUI;;NON;OUI;OUI;2976;
1091;Parc potager fournillère;Rue jules piedeleu;47,2125;-1,59051;Danais ligne 24;OUI;OUI;NON;OUI;NON;NON;OUI;;NON;NON;NON;31570;
1642;Square zac pilleux nord;Rue de pilleux - rue benoit frachon;47,2078;-1,58038;Du chaffault ligne 1;OUI;NON;NON;NON;NON;NON;OUI;;NON;OUI;OUI;3803;
1937;Parc des oblates;Rue de la brianderie;47,2003965;-1,5850374;Bougainville ligne 81;NON;NON;NON;NON;NON;NON;NON;;NON;NON;OUI;30000;
34;Parc des dervallières;Rue louis le nain;47,2248;-1,59412;Vincent auriol ligne 56;NON;NON;NON;NON;NON;NON;OUI;;NON;NON;NON;82110;
35;Jardin d'enfants de procé;Rue des dervallières;47,2222;-1,58153;Lignes 22 et 56 - procé;OUI;NON;OUI;OUI;OUI;NON;NON;;OUI;OUI;OUI;5800;
