_IDOBJ;NOM_COMPLET;THEME;LIBTHEME;CATEGORIE;LIBCATEGORIE;TYPE;LIBTYPE;STATUT;COMMUNE;ADRESSE;TELEPHONE;WEB;CODE_POSTAL;Y_LAT;X_LONG
3379;Salle de Tennis;6;SPORTS;607;Tennis;;;;BASSE-GOULAINE;Rue du Général Leclerc;;;44115;47,2174956015047;-1,46414834529638
3381;Gymnase La Herdrie;6;SPORTS;603;Gymnase;;;;BASSE-GOULAINE;81 Rue de la Basse Lande;;;44115;47,1981369987963;-1,45211641003807
3382;Stade La Herdrie;6;SPORTS;606;Stade;;;;BASSE-GOULAINE;81 Rue de la Basse Lande;;;44115;47,1970606984537;-1,4518438765204
3387;Gymnase de Mazaire;6;SPORTS;603;Gymnase;;;;LA-CHAPELLE-SUR-ERDRE;Rue de la Hautière;02 51 81 87 22;www.lachapellesurerdre.fr;44240;47,2969808407456;-1,55836528167593
3391;Complexe sportif de La Coutancière;6;SPORTS;601;Centre sportif;;;;LA-CHAPELLE-SUR-ERDRE;Rue de l'Aven;02 40 72 05 70;www.lachapellesurerdre.fr;44240;47,3062805421427;-1,55849488739076
3392;Complexe sportif Buisson de la Grolle;6;SPORTS;601;Centre sportif;;;;LA-CHAPELLE-SUR-ERDRE;Chemin de Kerbihan;02 40 72 65 43;www.lachapellesurerdre.fr;44240;47,2897153767933;-1,53853292487801
3406;Piste d'athlétisme;6;SPORTS;606;Stade;;;;BOUAYE;Esplanade de l'Edit de Nantes;;;44830;47,1543009732966;-1,68227255927785
3412;Salle Léo Lagrange;6;SPORTS;603;Gymnase;;;;COUERON;Rue de la Noë Allais;;www.ville-coueron.fr;44220;47,2195633834591;-1,68346552493436
3414;Gymnase Paul Langevin;6;SPORTS;603;Gymnase;;;;COUERON;Boulevard Paul Langevin;02 40 85 46 60;;44220;47,2140301476733;-1,72127239006127
3417;Piste Bi-cross Couëron;6;SPORTS;608;Autre équipement;;;;COUERON;Rue du Pont de Retz;;;44220;47,2123101868461;-1,70294117334378
3423;Boulodrome Indre;6;SPORTS;608;Autre équipement;;;;INDRE;Quai Victor Boquien;;;44610;47,1973163153296;-1,67199390697825
3427;Salle de sport;6;SPORTS;603;Gymnase;;;;MAUVES-SUR-LOIRE;11 Rue des Saulzais;;;44470;47,2935906250654;-1,39044844263005
3435;Centre Stévin;6;SPORTS;601;Centre sportif;;;;ORVAULT;10 Rue Stevin;;www.orvault.fr;44700;47,2594508036441;-1,63451043548246
3441;Tennis Orvault;6;SPORTS;607;Tennis;;;;ORVAULT;40 Rue de la Mulonnière;;;44700;47,2571645470284;-1,58156438456381
3442;Plateau Multisports;6;SPORTS;606;Stade;;;;ORVAULT;22 Avenue du Petit Moulin;;www.orvault.fr;44700;47,2632318683259;-1,59694048733103
3443;Tennis Roger Picaud;6;SPORTS;607;Tennis;;;;ORVAULT;112 Avenue Claude Antoine Peccot;;;44700;47,2529330508998;-1,61156164440896
3444;Piscine Roger Picaud - Orvault;6;SPORTS;604;Piscine;;;;ORVAULT;108B Avenue Claude Antoine Peccot;02 40 63 30 40;www.orvault.fr;44700;47,251124918662;-1,61012134345654
3449;Complexe Sports Loisirs Francis Lespinet;6;SPORTS;603;Gymnase;;;;LA-MONTAGNE;Allée du Château d'Aux;02 40 65 80 91;www.ville-lamontagne.fr;44620;47,1827492524075;-1,67655751897517
3458;Courts de Tennis;6;SPORTS;607;Tennis;;;;LE-PELLERIN;Rue de la Jouardais;;www.ville-lepellerin.fr;44640;47,1961900301957;-1,76158045857492
3459;Terrain de pétanque;6;SPORTS;608;Autre équipement;;;;LE-PELLERIN;Rue de la Jouardais;;www.ville-lepellerin.fr;44640;47,1960744912035;-1,75932744212281
3461;Tennis Saint Aignan de Grand Lieu;6;SPORTS;607;Tennis;;;;SAINT-AIGNAN-GRANDLIEU;Place Saint Amani;;;44860;47,1207193963842;-1,63772247513102
3465;Stade Jean Bertin;6;SPORTS;601;Centre sportif;;;;SAINT-AIGNAN-GRANDLIEU;4 Rue des Frères Rousseau;02 40 26 44 44;;44860;47,1242267697203;-1,63166120014361
3482;Plaine de Jeux de la Rive;6;SPORTS;605;Plaine de jeux;;;;SAINT-LEGER-LES-VIGNES;Rue de la Rive;;;44710;47,1334304977231;-1,73297467088365
3489;Gymnase Marcel Le Bonniec;6;SPORTS;603;Gymnase;;;;SAINTE-LUCE-SUR-LOIRE;53 Boulevard Louis Pasteur;;;44980;47,2582512018069;-1,49018590950255
3495;Gymnase Jules Léauté;6;SPORTS;603;Gymnase;;;;LES-SORINIERES;Rue Hippolyte Derouet;02 40 04 46 72;;44840;47,1475885964023;-1,52505259448483
3497;Salle de Judo Les Sorinières;6;SPORTS;608;Autre équipement;;;;LES-SORINIERES;Rue des Papillons;;;44840;47,1482185616221;-1,52296741885726
3501;Complexe de loisirs Louis Barta;6;SPORTS;605;Plaine de jeux;;;;LES-SORINIERES;Rue de la Guindonnière;;;44840;47,1500101560296;-1,51904656373622
3529;Motocross Christian Bageot;6;SPORTS;608;Autre équipement;;;;ST-HERBLAIN;Route Plessis Bouchet;;;44800;47,1980987641279;-1,64003404395561
3531;Tir à l'Arc Saint Herblain;6;SPORTS;608;Autre équipement;;;;ST-HERBLAIN;Boulevard Salvador Allende;;;44800;47,2157731371012;-1,62048942265318
3578;Salle de Tennis de Table du Haut Vigneau;6;SPORTS;608;Autre équipement;;;;LES-SORINIERES;61 Rue de la Maillardière;02 28 00 98 86;www.sorinieres-tt.eu;44840;47,1596886310787;-1,52154017923406
3593;Stade Georges Tougeron;6;SPORTS;606;Stade;;;;BOUAYE;Rue du Stade;;;44830;47,1498081053604;-1,69313170407814
3607;Espace Multisport Sillon;6;SPORTS;605;Plaine de jeux;;;;ST-HERBLAIN;Avenue de l'Angevinière;;www.saint-herblain.fr;44800;47,24636074149;-1,61054783037182
3634;Piscine Petite Amazonie - Nantes;6;SPORTS;604;Piscine;;;Ville de Nantes;NANTES;15 Rue du Pont de l'Arche de Mauves;;;44000;47,2163926638424;-1,5317100587433
3660;Skatepark Ricordeau - Nantes;6;SPORTS;609;Espace Sportif de Proximité;;;municipal;NANTES;Place Alexis Ricordeau;;;44000;47,2123074407887;-1,55351435609301
3662;Terrain Multisport Monteil;6;SPORTS;609;Espace Sportif de Proximité;;;Ville de Nantes;NANTES;10 Rue Monteil;;;44000;47,213201100097;-1,54869427347157
