code_politique_dominante;description_politique_dominante;code_secteur_intervention;description_secteur_intervention;code_sous_secteur;description_sous_secteur_interv;code_programme;description_programme;nature_affect_operation;vsectsubv;vmt_bp
B-;DEVELOPPEMENT CULTUREL;B-01;Enseignement artistique;;;P010;Conservatoire de Bordeaux;Recette;Fonctionnement;650487
B-;DEVELOPPEMENT CULTUREL;B-01;Enseignement artistique;;;P010;Conservatoire de Bordeaux;Recette;Investissement;0
B-;DEVELOPPEMENT CULTUREL;B-01;Enseignement artistique;;;P011;Ecole superieure d'Art de Bordeaux;Depense;Fonctionnement;3140000
B-;DEVELOPPEMENT CULTUREL;B-01;Enseignement artistique;;;P011;Ecole superieure d'Art de Bordeaux;Depense;Investissement;80000
B-;DEVELOPPEMENT CULTUREL;B-01;Enseignement artistique;;;P011;Ecole superieure d'Art de Bordeaux;Recette;Fonctionnement;40000
B-;DEVELOPPEMENT CULTUREL;B-01;Enseignement artistique;;;P011;Ecole superieure d'Art de Bordeaux;Recette;Investissement;0
B-;DEVELOPPEMENT CULTUREL;B-02;Musees;;;P012;Musee d'Art Contemporain;Depense;Fonctionnement;500000
B-;DEVELOPPEMENT CULTUREL;B-02;Musees;;;P012;Musee d'Art Contemporain;Depense;Investissement;20000
B-;DEVELOPPEMENT CULTUREL;B-02;Musees;;;P012;Musee d'Art Contemporain;Recette;Fonctionnement;123600
B-;DEVELOPPEMENT CULTUREL;B-02;Musees;;;P013;Musee d'Aquitaine (Goupil et Jean Moulin);Depense;Fonctionnement;292000
B-;DEVELOPPEMENT CULTUREL;B-02;Musees;;;P013;Musee d'Aquitaine (Goupil et Jean Moulin);Depense;Investissement;400000
B-;DEVELOPPEMENT CULTUREL;B-02;Musees;;;P013;Musee d'Aquitaine (Goupil et Jean Moulin);Recette;Fonctionnement;105000
B-;DEVELOPPEMENT CULTUREL;B-02;Musees;;;P013;Musee d'Aquitaine (Goupil et Jean Moulin);Recette;Investissement;0
