entityid;code_politique_dominante;description_politique_dominante;code_secteur_intervention;description_secteur_intervention;code_sous_secteur;description_sous_secteur_interv;code_programme;description_programme;nature_affect_operation;vsectsubv;vmt_bp
5cd965f7-3654-40eb-a0db-b5235f0a7e75;I-;PILOTAGE STRATEGIQUE DE LA COLLECTIVITE;I-05;E administration;;;P117;Performance technique du SI;Depense;Fonctionnement;1700000
5d07f169-5469-48cb-80ba-235321b0747f;D-;QUALITE DES ESPACES PUBLICS DE PROXIMITE;D-02;Gestion de la voie publique;;;P043;Occupation du domaine (operations assujetties);Recette;Fonctionnement;1309000
5d0868c0-f9e7-4299-b0e0-6b3be28b794a;F-;DEVELOPPEMENT SPORTIF;F-03;Sports educatif et loisirs;F-0301;Partenariats et animation;P057;Politique d'animation;Depense;Investissement;0
5d8106df-916b-4ad1-b4a1-9e835646eaca;H-;VIE DEMOCRATIQUE;H-01;Vie associative;;;P080;Rehabilitation et construction des equipements associatifs;Recette;Fonctionnement;0
5dcc533a-764a-40c0-8db2-5c6c559ea823;J-;PERFORMANCE DE LA COLLECTIVITE;J-01;Gestion dev. Ress. humaines;;;P098;Masse salariale;Depense;Fonctionnement;185620000
5e1f2155-94c9-40b2-8589-832577bdeaf9;A-;ATTRACTIVITE ET RAYONNEMENT;A-01;Rayonnement architectural et urbain;;;P001;Rayonnement architectural et urbain;Recette;Investissement;0
5f41260b-4686-4434-a2eb-6e7aa1049ac7;G-;Vie en societe;G-03;Jeunesse;;;P070;Accueil et hebergement;Depense;Fonctionnement;178160
5f50d335-bada-49d3-947e-4874da907f1b;D-;QUALITE DES ESPACES PUBLICS DE PROXIMITE;D-03;Gestion maintien patrim. vert;;;P044;Preservation et gestion du patrimoine vert;Depense;Fonctionnement;1160056
5f7778ae-1cb6-4309-b967-b448a3b74ef3;I-;PILOTAGE STRATEGIQUE DE LA COLLECTIVITE;I-05;E administration;;;P115;Amenagement numerique du territoire;Depense;Investissement;105000
5f9f379f-ae3b-4987-a6e1-f69d273f79d6;G-;Vie en societe;G-03;Jeunesse;;;P069;Accueil educatifs et de loisirs;Depense;Investissement;70000
5fe97d51-7ac7-4a4a-a16a-14fcab68c5f4;E-;PREVENTION DES RISQUES ET TRANQUILLITE;E-01;Tranquillite publique;;;P046;Police municipale;Recette;Fonctionnement;10000
6049312a-440a-4481-af42-92c58b95d6e0;H-;VIE DEMOCRATIQUE;H-03;Accueil et citoyennete;;;P084;Services à la population;Recette;Investissement;0
60e0c609-3a2f-40aa-991c-91b346319f39;D-;QUALITE DES ESPACES PUBLICS DE PROXIMITE;D-02;Gestion de la voie publique;;;P042;Occupation du domaine;Depense;Investissement;217000
61aaa818-51ec-419e-a8d0-30b223466b34;G-;Vie en societe;G-04;Developpement social terr.;;;P121;Sante;Depense;Subventions;0
624950b5-1b4b-4853-ab62-f2c50c014096;F-;DEVELOPPEMENT SPORTIF;F-03;Sports educatif et loisirs;F-0301;Partenariats et animation;P057;Politique d'animation;Depense;Fonctionnement;300000
6278a18b-5288-4451-b833-369ea3f2aa65;C-;DEVELOPPEMENT URBAIN DURABLE;C-03;Habitat;;;P032;Renovation urbaine;Depense;Investissement;1140000
627b37a1-3895-4d14-b79e-9dcb7da90567;E-;PREVENTION DES RISQUES ET TRANQUILLITE;E-01;Tranquillite publique;;;P046;Police municipale;Recette;Investissement;0
6300cb36-bc51-43e3-9c80-2792092ecff4;H-;VIE DEMOCRATIQUE;H-03;Accueil et citoyennete;;;P085;Cimetières;Depense;Fonctionnement;130000
644d4560-0d4b-479b-bb3c-beef1974e9cd;D-;QUALITE DES ESPACES PUBLICS DE PROXIMITE;D-03;Gestion maintien patrim. vert;;;P044;Preservation et gestion du patrimoine vert;Recette;Investissement;0
644f87c1-5951-4c41-9f9c-2188b9452162;F-;DEVELOPPEMENT SPORTIF;F-01;Equipements sportifs struct.;F-0101;Equipements structurants delegues;P131;Patinoire;Recette;Investissement;0
64669801-a971-4141-96c0-9d5529470244;B-;DEVELOPPEMENT CULTUREL;B-02;Musees;;;P014;Musee des Arts decoratifs;Recette;Fonctionnement;83000
653c832c-2a44-4964-b427-dfe1bb1b437b;C-;DEVELOPPEMENT URBAIN DURABLE;C-01;Dev. eco, emploi et ens. sup.;;;P027;Entrepreneuriat;Recette;Investissement;0
65703b3c-65ad-4606-8b1b-8c3409e0e0aa;C-;DEVELOPPEMENT URBAIN DURABLE;C-01;Dev. eco, emploi et ens. sup.;;;P028;Innovation - Enseignement superieur;Depense;Fonctionnement;0
65e7279f-004e-4467-ae78-aeed7aeb649d;J-;PERFORMANCE DE LA COLLECTIVITE;J-04;Strategie et gestion immo.;;;P104;Travaux et gestion du patrimoine administratif;Recette;Investissement;0
66b79788-c9af-484d-bcda-4d59188cded6;G-;Vie en societe;G-04;Developpement social terr.;;;P127;Accompagnement de projets transversaux;Depense;Investissement;0
66f9e96f-b967-4bbb-b2a4-47a5320da715;B-;DEVELOPPEMENT CULTUREL;B-02;Musees;;;P013;Musee d'Aquitaine (Goupil et Jean Moulin);Recette;Fonctionnement;165000
676d3ad5-1afd-4c68-acc5-2bf7ed036e54;B-;DEVELOPPEMENT CULTUREL;B-04;Dev. action artistiq et cult.;;;P134;Auditorium (TVA);Depense;Fonctionnement;0
679f1a5e-ccbb-41c8-a04c-434479c5d62c;G-;Vie en societe;G-04;Developpement social terr.;;;P145;Innovation sociale;Depense;Subventions;306450
67c6239e-acd7-4225-a010-66ad2d25ea13;G-;Vie en societe;G-04;Developpement social terr.;;;P072;Accompagnement des projets de quartier;Depense;Subventions;585042
692c541e-9fc7-4fd8-b1f1-bab371054a8c;J-;PERFORMANCE DE LA COLLECTIVITE;J-02;Gestion financière;;;P100;Dette, Investissement et operations comptables;Recette;Fonctionnement;0
697c67d6-b66d-4f1f-8924-47ecd34dab35;F-;DEVELOPPEMENT SPORTIF;F-03;Sports educatif et loisirs;F-0301;Partenariats et animation;P057;Politique d'animation;Recette;Fonctionnement;130000
6981656b-1178-46e3-b972-770bd62ad4a4;J-;PERFORMANCE DE LA COLLECTIVITE;J-01;Gestion dev. Ress. humaines;;;P098;Masse salariale;Recette;Fonctionnement;1210000
69dec11e-d06a-441c-aeb5-10bbf54faa4b;J-;PERFORMANCE DE LA COLLECTIVITE;J-01;Gestion dev. Ress. humaines;;;P093;Medecine et prevention;Depense;Investissement;0
6a08b2cc-b3b8-4fb3-9a1c-d1f2fd38b52a;J-;PERFORMANCE DE LA COLLECTIVITE;J-04;Strategie et gestion immo.;;;P109;Ateliers du bâtiment;Depense;Fonctionnement;846110
6a0c671c-a827-4a2f-9234-4f8f09d8b701;H-;VIE DEMOCRATIQUE;H-01;Vie associative;;;P081;Aires d'accueil des gens du voyage;Depense;Fonctionnement;128424
