entityid;code_politique_dominante;description_politique_dominante;code_secteur_intervention;description_secteur_intervention;code_sous_secteur;description_sous_secteur_interv;code_programme;description_programme;nature_affect_operation;vsectsubv;vmt_bp
9d4c7862-fab9-4c5c-8300-fba618f2eea2;B-;DEVELOPPEMENT CULTUREL;B-02;Musees;;;P012;Musee d'Art Contemporain;Depense;Fonctionnement;481100
9de37c6e-045e-48a5-90b2-32d71b14eade;B-;DEVELOPPEMENT CULTUREL;B-02;Musees;;;P015;Musee des Beaux-Arts;Depense;Investissement;50000
9dfd5fe3-5761-4853-ab6a-19746320800c;B-;DEVELOPPEMENT CULTUREL;B-04;Dev. action artistiq et cult.;;;P023;Securite dans les bâtiments culturels;Depense;Fonctionnement;443990
9e653d5b-8e05-4758-89c0-9129296d63b6;G-;Vie en societe;G-04;Developpement social terr.;;;P072;Accompagnement des projets de quartier;Depense;Fonctionnement;0
9f670865-c243-426f-9f26-e9de2a5b5591;G-;Vie en societe;G-03;Jeunesse;;;P070;Accueil et hebergement;Recette;Fonctionnement;567000
9fa6109b-43c9-44e1-b09a-40b5cf22010d;A-;ATTRACTIVITE ET RAYONNEMENT;A-02;Patrimoine culturel;;;P002;Restauration des monuments historiques;Depense;Investissement;350000
9fac2511-bd60-4fd9-8760-9b2c73cc15d3;J-;PERFORMANCE DE LA COLLECTIVITE;J-02;Gestion financière;;;P101;Gestion budgetaire;Depense;Subventions;105217,39
9fcecc63-c58c-4c1e-a42f-2b3f48e42359;G-;Vie en societe;G-04;Developpement social terr.;;;P145;Innovation sociale;Recette;Fonctionnement;0
a00cd416-ff4f-4fb3-b4ca-71b15ade542c;F-;DEVELOPPEMENT SPORTIF;F-01;Equipements sportifs struct.;F-0101;Equipements structurants delegues;P050;DSP Golf Bordeaux Lac;Depense;Investissement;0
a0222e76-8118-4f25-8f55-749527098d70;B-;DEVELOPPEMENT CULTUREL;B-04;Dev. action artistiq et cult.;;;P021;Actions de developpement artistique;Depense;Subventions;4101720
a09221fb-915d-49d3-8bc5-9e08af2fe851;C-;DEVELOPPEMENT URBAIN DURABLE;C-03;Habitat;;;P031;Logement;Recette;Fonctionnement;0
a176722c-1a35-4f7c-b7d7-2ff7d14d414f;F-;DEVELOPPEMENT SPORTIF;F-03;Sports educatif et loisirs;F-0302;Construction et gestion des equipements;P060;Gestion salles et stades;Depense;Fonctionnement;729950
a2f69341-8400-4b48-a821-5d389e395f1a;F-;DEVELOPPEMENT SPORTIF;F-03;Sports educatif et loisirs;F-0302;Construction et gestion des equipements;P058;Gestion des equipements par les clubs;Depense;Subventions;441010
a31307e0-0afb-491b-9a67-a53cec9b707d;F-;DEVELOPPEMENT SPORTIF;F-01;Equipements sportifs struct.;F-0102;Equipements structurants en regie;P052;Stade Chaban-Delmas;Recette;Fonctionnement;200000
a349b8c1-ffcf-4d03-945e-c29b1ba211b7;H-;VIE DEMOCRATIQUE;H-01;Vie associative;;;P081;Aires d'accueil des gens du voyage;Recette;Investissement;0
a36f2323-f7e4-4cb5-9fca-35e5e736ef42;J-;PERFORMANCE DE LA COLLECTIVITE;J-04;Strategie et gestion immo.;;;P108;Construction publique, maintenance et energies;Recette;Investissement;0
a473f006-b10e-458f-93a3-edc7b571a948;C-;DEVELOPPEMENT URBAIN DURABLE;C-05;Eclairage;;;P035;Eclairage;Recette;Fonctionnement;0
a4809f1e-a90b-4232-be0c-a2d500537056;J-;PERFORMANCE DE LA COLLECTIVITE;J-04;Strategie et gestion immo.;;;P108;Construction publique, maintenance et energies;Depense;Investissement;1612000
a4f359bf-3ad1-4074-b721-f4267bae39aa;G-;Vie en societe;G-06;Cohesion sociale transversale;;;P074;Promouvoir l'egalite;Recette;Investissement;0
a5c567de-089b-43d2-bc4b-417a2ebe9523;I-;PILOTAGE STRATEGIQUE DE LA COLLECTIVITE;I-05;E administration;;;P114;Services numeriques à la population;Depense;Investissement;92000
a6442189-470f-41dc-8d8c-c8986e61b305;F-;DEVELOPPEMENT SPORTIF;F-02;Sports de haut niveau et perf.;;;P055;Soutien aux structures haut niveau;Depense;Fonctionnement;824200
a6cb7e44-d5f1-4dbe-91f9-da785eefc604;C-;DEVELOPPEMENT URBAIN DURABLE;C-03;Habitat;;;P032;Renovation urbaine;Depense;Fonctionnement;70000
a708d442-03fa-4900-9504-9b8efdcdc394;B-;DEVELOPPEMENT CULTUREL;B-02;Musees;;;P016;Museum d'histoire naturelle;Depense;Investissement;4000000
a86099ef-32d9-465d-a08b-ef57919bac38;J-;PERFORMANCE DE LA COLLECTIVITE;J-05;Logistique et exploitation;;;P112;Logistique;Depense;Investissement;40000
a8e7e6ee-6d51-4423-9528-26a1a9f043e9;H-;VIE DEMOCRATIQUE;H-01;Vie associative;;;P079;Structures d'animation et proximite;Depense;Fonctionnement;36900
a9b9afa9-928b-4b79-9eb5-343524450670;A-;ATTRACTIVITE ET RAYONNEMENT;A-04;Tourisme;;;P009;Tourisme d'affaires (TVA);Depense;Fonctionnement;530000
aa652920-e547-4af5-b08f-dd1a13a17d47;G-;Vie en societe;G-04;Developpement social terr.;;;P127;Accompagnement de projets transversaux;Recette;Fonctionnement;150000
aaa7d2a7-1e83-4d53-b795-ff86cdfa24f6;A-;ATTRACTIVITE ET RAYONNEMENT;A-02;Patrimoine culturel;;;P002;Restauration des monuments historiques;Depense;Fonctionnement;0
aafc8fdc-3072-4032-aa73-b23e6def52ec;G-;Vie en societe;G-06;Cohesion sociale transversale;;;P074;Promouvoir l'egalite;Depense;Investissement;600000
ab4ad97d-c8fb-4f0e-b609-64dfc1efebc7;J-;PERFORMANCE DE LA COLLECTIVITE;J-04;Strategie et gestion immo.;;;P129;Transactions assujetties à la TVA immobilières;Recette;Fonctionnement;0
abcae319-0f9f-49b0-aac5-a8cb65c598dc;I-;PILOTAGE STRATEGIQUE DE LA COLLECTIVITE;I-03;Pilotage strategique et eval.;;;P097;Cooperation territoriale et europeenne;Recette;Fonctionnement;0
ac2e3c5f-5f32-4a2f-b1c9-b7a3670d7135;C-;DEVELOPPEMENT URBAIN DURABLE;C-02;Amenagement urbain;;;P030;Droit des sols;Recette;Fonctionnement;0
acc093ff-f05a-45da-8a18-d3db81611e01;I-;PILOTAGE STRATEGIQUE DE LA COLLECTIVITE;I-01;Delegation au dev. durable;;;P087;Developpement durable;Recette;Fonctionnement;10000
ad361302-144e-4a9c-a264-2040f36d1cd2;E-;PREVENTION DES RISQUES ET TRANQUILLITE;E-02;Prevention des risques;;;P048;Prevention Sante Environnement Securite;Depense;Fonctionnement;343900
ad49f4b9-47a9-412c-8907-a56cb66de82b;H-;VIE DEMOCRATIQUE;H-03;Accueil et citoyennete;;;P084;Services à la population;Recette;Fonctionnement;263400
ae08d5d0-5dc9-4be4-b66f-faedd3a41f4f;B-;DEVELOPPEMENT CULTUREL;B-01;Enseignement artistique;;;P011;Ecole superieure d'Art de Bordeaux;Depense;Fonctionnement;3090000
af04ec23-f556-41e0-addc-68ce92748d8f;B-;DEVELOPPEMENT CULTUREL;B-04;Dev. action artistiq et cult.;;;P134;Auditorium (TVA);Recette;Fonctionnement;1010000
aff561c0-5558-4aa3-9265-cdb04476cd46;B-;DEVELOPPEMENT CULTUREL;B-02;Musees;;;P012;Musee d'Art Contemporain;Depense;Investissement;0
b125779f-9b3d-496c-8072-5c9475674c46;I-;PILOTAGE STRATEGIQUE DE LA COLLECTIVITE;I-05;E administration;;;P116;Services numeriques interne et SI transverses;Depense;Investissement;217000
b1f647f4-b96f-4f95-9fa2-d2f0f129e495;J-;PERFORMANCE DE LA COLLECTIVITE;J-01;Gestion dev. Ress. humaines;;;P094;Developpement et aide à la personne ;Depense;Fonctionnement;579000
b23a170d-8ffb-408f-bbb0-97f643e12782;F-;DEVELOPPEMENT SPORTIF;F-03;Sports educatif et loisirs;F-0302;Construction et gestion des equipements;P061;Rehabilitation et construction d'equipements sportifs;Recette;Investissement;0
b2b512e2-8fc8-4d79-aa95-9cd4438c4e36;F-;DEVELOPPEMENT SPORTIF;F-01;Equipements sportifs struct.;F-0101;Equipements structurants delegues;P131;Patinoire;Depense;Investissement;50000
b2e48c6e-d43c-4b2e-aed7-bc4f074f96f2;D-;QUALITE DES ESPACES PUBLICS DE PROXIMITE;D-03;Gestion maintien patrim. vert;;;P045;Proximite et animation;Depense;Investissement;470000
b3853063-e4fe-4505-908a-742a7a979d22;C-;DEVELOPPEMENT URBAIN DURABLE;C-01;Dev. eco, emploi et ens. sup.;;;P024;Commerce et artisanat;Recette;Investissement;0
b490bb02-ecfa-4152-a261-0c1c79e3d2f3;H-;VIE DEMOCRATIQUE;H-01;Vie associative;;;P081;Aires d'accueil des gens du voyage;Depense;Investissement;0
b4e2f447-9319-4808-9b90-b62d961a1753;J-;PERFORMANCE DE LA COLLECTIVITE;J-02;Gestion financière;;;P101;Gestion budgetaire;Recette;Investissement;0
b69aaad2-2380-4fed-8fb3-d448b36d5d41;G-;Vie en societe;G-04;Developpement social terr.;;;P072;Accompagnement des projets de quartier;Depense;Investissement;0
b710fe54-0091-4a95-a193-188820cfac83;D-;QUALITE DES ESPACES PUBLICS DE PROXIMITE;D-01;Proprete urbaine;;;P123;Sanitaires ;Depense;Fonctionnement;831000
b735ce26-1d04-49bc-b72b-927f5b952cc1;H-;VIE DEMOCRATIQUE;H-03;Accueil et citoyennete;;;P085;Cimetières;Depense;Investissement;283000
b7bbb031-5348-45b7-916c-7abce1d8a449;G-;Vie en societe;G-04;Developpement social terr.;;;P145;Innovation sociale;Depense;Fonctionnement;65000
b7fbd1f2-d36d-4d0b-a296-4a3fd8211d0d;A-;ATTRACTIVITE ET RAYONNEMENT;A-04;Tourisme;;;P126;Cite des civilisations du vin;Recette;Investissement;14002334
b82d90f4-95ec-4629-8d95-22bd73d78730;D-;QUALITE DES ESPACES PUBLICS DE PROXIMITE;D-02;Gestion de la voie publique;;;P042;Occupation du domaine;Recette;Investissement;0
b82fbdfa-3ea8-4a78-8cc6-d0c09f4965fa;F-;DEVELOPPEMENT SPORTIF;F-01;Equipements sportifs struct.;F-0102;Equipements structurants en regie;P125;Salle Jean Dauguet;Recette;Fonctionnement;1000
b8cdbf23-5155-4872-ad1d-312fcbb7ff6c;H-;VIE DEMOCRATIQUE;H-01;Vie associative;;;P080;Rehabilitation et construction des equipements associatifs;Depense;Fonctionnement;0
b8dcc1fc-9acd-4149-add8-661cc859680d;G-;Vie en societe;G-02;Education;;;P066;Actions educatives;Depense;Subventions;61200
b95aff24-8342-4a3c-9c61-17fb97062a5d;A-;ATTRACTIVITE ET RAYONNEMENT;A-04;Tourisme;;;P009;Tourisme d'affaires (TVA);Depense;Investissement;0
b9d31412-fb4f-4859-b287-c61c809b0612;G-;Vie en societe;G-05;Seniors;G-0502;Vie à domicile;P075;Activites des seniors;Depense;Investissement;147000
ba1c302b-b953-4c15-b993-c78922eb3c10;C-;DEVELOPPEMENT URBAIN DURABLE;C-06;Paysages et patrimoine urbains;;;P038;Lycee horticole;Depense;Fonctionnement;315000
ba814064-c819-4081-b3ca-e1c3bfbc549f;A-;ATTRACTIVITE ET RAYONNEMENT;A-04;Tourisme;;;P008;Tourisme urbain;Depense;Fonctionnement;10530
bb7a1b0f-418a-42d0-987a-2afed87ced2a;D-;QUALITE DES ESPACES PUBLICS DE PROXIMITE;D-02;Gestion de la voie publique;;;P042;Occupation du domaine;Recette;Fonctionnement;2935000
bc70ef9e-90b3-4b60-b997-d3c6a246e1d7;B-;DEVELOPPEMENT CULTUREL;B-03;Lecture publique et archives;;;P019;Archives municipales;Depense;Investissement;580000
bcb0e78d-c4c9-4867-aae7-4d943f79b1a4;B-;DEVELOPPEMENT CULTUREL;B-04;Dev. action artistiq et cult.;;;P020;Opera;Depense;Fonctionnement;15897900
bcc4c4ec-5646-4742-b9b2-44315a26246c;F-;DEVELOPPEMENT SPORTIF;F-01;Equipements sportifs struct.;F-0102;Equipements structurants en regie;P052;Stade Chaban-Delmas;Depense;Investissement;0
bcfe62ec-1829-4945-a2a4-52b0cdd2eed4;J-;PERFORMANCE DE LA COLLECTIVITE;J-05;Logistique et exploitation;;;P110;Moyens operationnels d'exploitation;Depense;Investissement;815000
be32e78f-1421-4248-936c-edd11cbc4be0;G-;Vie en societe;G-01;Petite enfance;;;P062;Structures sous gestion municipale;Depense;Investissement;0
bee16c26-15a7-4251-b896-e1e2bf7d0e6b;I-;PILOTAGE STRATEGIQUE DE LA COLLECTIVITE;I-02;Vie municipale;;;P089;Elus;Depense;Fonctionnement;2211760
bee77b17-8b56-4d22-9d1c-6768578ee328;F-;DEVELOPPEMENT SPORTIF;F-01;Equipements sportifs struct.;F-0102;Equipements structurants en regie;P053;Piscine Judaïque;Depense;Investissement;0
c2cd2f61-f428-4484-a776-ff0f44e122eb;H-;VIE DEMOCRATIQUE;H-01;Vie associative;;;P078;Developpement de la vie associative;Recette;Fonctionnement;50000
c303cba8-de54-4f52-9204-8af77525a8ea;J-;PERFORMANCE DE LA COLLECTIVITE;J-04;Strategie et gestion immo.;;;P105;Acquisitions immobilières;Depense;Investissement;828700
c32eecc9-e4c8-4b4e-964b-f3a9ba015195;J-;PERFORMANCE DE LA COLLECTIVITE;J-05;Logistique et exploitation;;;P112;Logistique;Recette;Fonctionnement;1100000
c335b4ab-2de6-4e06-be3e-e688286c2998;C-;DEVELOPPEMENT URBAIN DURABLE;C-01;Dev. eco, emploi et ens. sup.;;;P024;Commerce et artisanat;Depense;Fonctionnement;20000
c34ae3d7-91a8-4cf2-94e5-fd3f0bbc92f4;H-;VIE DEMOCRATIQUE;H-03;Accueil et citoyennete;;;P084;Services à la population;Depense;Fonctionnement;216850
c4dfbc63-2c5a-4b12-b5ee-b1d9f0c4d54d;I-;PILOTAGE STRATEGIQUE DE LA COLLECTIVITE;I-01;Delegation au dev. durable;;;P086;Maison eco-citoyenne;Recette;Investissement;0
c4ed9f22-5cfe-4049-b89a-426b9c7275c4;C-;DEVELOPPEMENT URBAIN DURABLE;C-04;Vie et depl. dans les esp.urb.;;;P034;Amenagement des espaces de circulation;Depense;Fonctionnement;743800
c5a8434b-5143-4de1-b3c4-989a60548e2b;G-;Vie en societe;G-01;Petite enfance;;;P062;Structures sous gestion municipale;Depense;Fonctionnement;749550
c5b081d8-30c7-4719-9792-5c5b758d14a2;I-;PILOTAGE STRATEGIQUE DE LA COLLECTIVITE;I-05;E administration;;;P113;Gouvernance numerique;Depense;Fonctionnement;60000
c5dba0bf-8316-4637-9c3c-9b5c2ed881e1;D-;QUALITE DES ESPACES PUBLICS DE PROXIMITE;D-01;Proprete urbaine;;;P040;Enlèvement des dechets;Recette;Fonctionnement;5000
c60d5756-c308-4d81-9afe-7ed45479d86c;A-;ATTRACTIVITE ET RAYONNEMENT;A-04;Tourisme;;;P007;Equipements fluviaux;Recette;Investissement;0
c656f891-0cb0-45c1-977d-64a9e28906b1;F-;DEVELOPPEMENT SPORTIF;F-02;Sports de haut niveau et perf.;;;P055;Soutien aux structures haut niveau;Recette;Fonctionnement;195000
c685c711-d4c8-4667-87e6-e55802cebcc9;J-;PERFORMANCE DE LA COLLECTIVITE;J-04;Strategie et gestion immo.;;;P109;Ateliers du bâtiment;Recette;Investissement;0
c6d63642-60a1-4c81-b887-e84960dfd75f;C-;DEVELOPPEMENT URBAIN DURABLE;C-06;Paysages et patrimoine urbains;;;P036;Patrimoine naturel;Depense;Fonctionnement;153100
c6e863c1-69e7-4d14-bc37-24d6ac4d8085;C-;DEVELOPPEMENT URBAIN DURABLE;C-01;Dev. eco, emploi et ens. sup.;;;P024;Commerce et artisanat;Recette;Fonctionnement;0
c71359a4-d361-47af-aa3d-8e18258babcc;C-;DEVELOPPEMENT URBAIN DURABLE;C-06;Paysages et patrimoine urbains;;;P036;Patrimoine naturel;Recette;Fonctionnement;15000
c7d949b3-329d-490d-8036-186e5178fa66;B-;DEVELOPPEMENT CULTUREL;B-03;Lecture publique et archives;;;P019;Archives municipales;Recette;Fonctionnement;9000
c8598b94-85ee-4043-b93e-d00fa3927d84;I-;PILOTAGE STRATEGIQUE DE LA COLLECTIVITE;I-05;E administration;;;P128;Territoire innovant - mobile;Depense;Investissement;300000
c94711cc-2c0b-4f2a-a53a-8aaa5860b1ab;C-;DEVELOPPEMENT URBAIN DURABLE;C-04;Vie et depl. dans les esp.urb.;;;P033;Deplacements doux;Depense;Investissement;62900
ca37a387-6eee-4108-8d34-b38fd2fe62cc;G-;Vie en societe;G-05;Seniors;G-0502;Vie à domicile;P075;Activites des seniors;Depense;Subventions;74250
cb61e9be-02e1-4d6c-8e74-ec7b7d8e4ab5;C-;DEVELOPPEMENT URBAIN DURABLE;C-01;Dev. eco, emploi et ens. sup.;;;P025;Croissance et Filières;Depense;Investissement;0
ccdafef4-20c9-417f-8c3d-38b459e00d97;J-;PERFORMANCE DE LA COLLECTIVITE;J-04;Strategie et gestion immo.;;;P146;Cite municipale;Depense;Investissement;2149346
ccdd7316-f4cf-4393-b64c-43d7af864e5a;I-;PILOTAGE STRATEGIQUE DE LA COLLECTIVITE;I-05;E administration;;;P128;Territoire innovant - mobile;Depense;Fonctionnement;46500
cd023cca-39a2-4e84-9a34-eda40342a546;I-;PILOTAGE STRATEGIQUE DE LA COLLECTIVITE;I-04;Communication externe;;;P091;Communication externe;Depense;Investissement;45000
cd14f57c-7a76-4464-896f-18af87981cdc;J-;PERFORMANCE DE LA COLLECTIVITE;J-02;Gestion financière;;;P099;Operations avec TVA;Recette;Fonctionnement;2230000
cd376e8e-fef4-4364-9fae-500085746ce5;D-;QUALITE DES ESPACES PUBLICS DE PROXIMITE;D-02;Gestion de la voie publique;;;P042;Occupation du domaine;Depense;Fonctionnement;383501
cd74a722-81ae-457f-8d6f-7b430cccaf7f;B-;DEVELOPPEMENT CULTUREL;B-03;Lecture publique et archives;;;P018;Lecture publique;Depense;Investissement;1285000
cf558ba5-6fa7-4b70-ba75-c675eca4e50b;J-;PERFORMANCE DE LA COLLECTIVITE;J-03;Securite jur. et Commande pub.;;;P102;Securite Juridique;Recette;Fonctionnement;600000
d03457b1-67df-40e2-9967-335a08e77b19;B-;DEVELOPPEMENT CULTUREL;B-02;Musees;;;P119;Recettes des activites annexes du CAPC;Recette;Fonctionnement;100000
d0f431cb-d6ef-4cf6-a0ae-50376efc297a;J-;PERFORMANCE DE LA COLLECTIVITE;J-02;Gestion financière;;;P100;Dette, Investissement et operations comptables;Depense;Investissement;26497500
d1327fd2-c604-4280-8b86-cfe086286574;D-;QUALITE DES ESPACES PUBLICS DE PROXIMITE;D-02;Gestion de la voie publique;;;P041;Stationnement et circulation;Depense;Fonctionnement;800000
d23b4c76-81ef-4067-b78c-ea6573995ae6;J-;PERFORMANCE DE LA COLLECTIVITE;J-01;Gestion dev. Ress. humaines;;;P092;Communication interne;Depense;Fonctionnement;45000
d27ec851-df2a-4f89-81d8-3e1065bb3d96;J-;PERFORMANCE DE LA COLLECTIVITE;J-05;Logistique et exploitation;;;P110;Moyens operationnels d'exploitation;Recette;Fonctionnement;70000
d30e0ed7-e7b5-4ffd-b1cb-54e739ab36a4;I-;PILOTAGE STRATEGIQUE DE LA COLLECTIVITE;I-05;E administration;;;P116;Services numeriques interne et SI transverses;Depense;Fonctionnement;314000
d45fc4ae-1625-493e-aa45-d94005759d0c;H-;VIE DEMOCRATIQUE;H-01;Vie associative;;;P078;Developpement de la vie associative;Depense;Investissement;104000
d54b94b9-f8c9-4dbf-b7c5-24db26126c5e;C-;DEVELOPPEMENT URBAIN DURABLE;C-04;Vie et depl. dans les esp.urb.;;;P033;Deplacements doux;Depense;Fonctionnement;104000
d60cdc78-d84e-4639-a0f9-68ca3f8987ae;B-;DEVELOPPEMENT CULTUREL;B-01;Enseignement artistique;;;P010;Conservatoire de Bordeaux;Depense;Investissement;205000
d65aac9c-aeca-4409-8e05-64396f330794;A-;ATTRACTIVITE ET RAYONNEMENT;A-03;Relations internationales;;;P006;Relations internationales;Recette;Fonctionnement;25000
d68dbb47-4813-4022-9c22-d7f3fc2760c9;B-;DEVELOPPEMENT CULTUREL;B-02;Musees;;;P013;Musee d'Aquitaine (Goupil et Jean Moulin);Depense;Investissement;50000
d6949bfa-ff99-46b4-9b77-c686db3da552;G-;Vie en societe;G-04;Developpement social terr.;;;P121;Sante;Recette;Fonctionnement;0
d695e92e-1eba-401c-bab4-8aa73fb6bbf4;D-;QUALITE DES ESPACES PUBLICS DE PROXIMITE;D-02;Gestion de la voie publique;;;P041;Stationnement et circulation;Recette;Fonctionnement;6000000
d6dd80c0-9f39-47c0-b582-3dec931cac8c;I-;PILOTAGE STRATEGIQUE DE LA COLLECTIVITE;I-05;E administration;;;P113;Gouvernance numerique;Depense;Investissement;215000
d84c9ec2-0ad1-437f-b413-91076a00fc3d;I-;PILOTAGE STRATEGIQUE DE LA COLLECTIVITE;I-03;Pilotage strategique et eval.;;;P097;Cooperation territoriale et europeenne;Depense;Fonctionnement;21000
d8e9b8d0-d5a5-4ab6-9c2d-96c0c35c1f1e;H-;VIE DEMOCRATIQUE;H-01;Vie associative;;;P081;Aires d'accueil des gens du voyage;Recette;Fonctionnement;125000
da097b64-c7e4-416d-aec4-e0899768235e;A-;ATTRACTIVITE ET RAYONNEMENT;A-04;Tourisme;;;P009;Tourisme d'affaires (TVA);Recette;Fonctionnement;0
da2f7b6d-8060-4917-981f-0cfb0b18cffe;B-;DEVELOPPEMENT CULTUREL;B-04;Dev. action artistiq et cult.;;;P139;Base sous-marine;Depense;Fonctionnement;220500
da320ad9-be3c-48c9-96c5-4cccbf1c6c35;B-;DEVELOPPEMENT CULTUREL;B-04;Dev. action artistiq et cult.;;;P022;Rayonnement culturel;Recette;Investissement;0
da52c8db-e95c-4e76-97fe-a5126cdcd8ef;F-;DEVELOPPEMENT SPORTIF;F-03;Sports educatif et loisirs;F-0302;Construction et gestion des equipements;P059;Piscines;Depense;Fonctionnement;223000
dc76f30b-820f-4386-b4e6-43ec6e2b295b;I-;PILOTAGE STRATEGIQUE DE LA COLLECTIVITE;I-02;Vie municipale;;;P088;Cabinet;Depense;Fonctionnement;490000
dc915cb2-dd9a-478d-beba-a10bbe8b1df9;C-;DEVELOPPEMENT URBAIN DURABLE;C-01;Dev. eco, emploi et ens. sup.;;;P026;Emploi;Depense;Fonctionnement;17311
dd44900b-9ce0-4d9b-887c-f910440a3a38;J-;PERFORMANCE DE LA COLLECTIVITE;J-04;Strategie et gestion immo.;;;P146;Cite municipale;Depense;Fonctionnement;2697505
dd908025-ae75-4f68-af1a-4c53f44aac74;B-;DEVELOPPEMENT CULTUREL;B-02;Musees;;;P014;Musee des Arts decoratifs;Depense;Investissement;0
ddbf2f57-ba8a-47fe-ab16-a2c8d2dc2d87;E-;PREVENTION DES RISQUES ET TRANQUILLITE;E-02;Prevention des risques;;;P049;SCHS - Activites assujetties;Recette;Fonctionnement;104000
de324529-6c9d-4900-9523-f0449b0c193c;B-;DEVELOPPEMENT CULTUREL;B-02;Musees;;;P013;Musee d'Aquitaine (Goupil et Jean Moulin);Recette;Investissement;0
df253db3-9af9-42a4-a018-fc0f8b9f927a;I-;PILOTAGE STRATEGIQUE DE LA COLLECTIVITE;I-01;Delegation au dev. durable;;;P087;Developpement durable;Recette;Investissement;0
dfbc534d-f6eb-4682-b98a-7f1b035387ef;B-;DEVELOPPEMENT CULTUREL;B-02;Musees;;;P017;Developpement des musees;Depense;Investissement;338500
e008a9be-1f33-4a67-84a8-3b11f1001a66;B-;DEVELOPPEMENT CULTUREL;B-04;Dev. action artistiq et cult.;;;P124;Equipements culturels assujettis;Depense;Investissement;50000
e11897a2-9218-4753-95e2-eaeb9b2935f1;D-;QUALITE DES ESPACES PUBLICS DE PROXIMITE;D-03;Gestion maintien patrim. vert;;;P044;Preservation et gestion du patrimoine vert;Recette;Fonctionnement;10000
e1efde83-1043-4a96-b56f-c73b8731a228;D-;QUALITE DES ESPACES PUBLICS DE PROXIMITE;D-02;Gestion de la voie publique;;;P082;Territoire et proximite;Recette;Fonctionnement;2600000
e2544823-88d7-4213-a878-d6ac2f3e38bb;I-;PILOTAGE STRATEGIQUE DE LA COLLECTIVITE;I-01;Delegation au dev. durable;;;P087;Developpement durable;Depense;Subventions;83160
e352e4b3-59dd-433a-8d9d-d6232c7cc803;C-;DEVELOPPEMENT URBAIN DURABLE;C-06;Paysages et patrimoine urbains;;;P036;Patrimoine naturel;Depense;Subventions;0
e3e35be9-8c9c-43af-867f-ec0b0af6c313;C-;DEVELOPPEMENT URBAIN DURABLE;C-01;Dev. eco, emploi et ens. sup.;;;P027;Entrepreneuriat;Recette;Fonctionnement;0
e536ae88-6c14-4602-ae99-de3846fc942c;A-;ATTRACTIVITE ET RAYONNEMENT;A-03;Relations internationales;;;P006;Relations internationales;Depense;Fonctionnement;308000
e5ad71c4-9cf8-4e06-aae5-07ec805f9035;F-;DEVELOPPEMENT SPORTIF;F-03;Sports educatif et loisirs;F-0301;Partenariats et animation;P057;Politique d'animation;Recette;Investissement;0
e6489e20-6892-427a-a649-417ffe9e92c8;C-;DEVELOPPEMENT URBAIN DURABLE;C-02;Amenagement urbain;;;P030;Droit des sols;Depense;Fonctionnement;142836
e6606dc6-3c5c-4578-9216-2ffc444bad1a;J-;PERFORMANCE DE LA COLLECTIVITE;J-04;Strategie et gestion immo.;;;P107;Gestion immobilière assujettie;Recette;Fonctionnement;1496000
e696713c-501f-4aa6-8a4b-8b4d99618dd7;F-;DEVELOPPEMENT SPORTIF;F-01;Equipements sportifs struct.;F-0101;Equipements structurants delegues;P051;Nouveau stade (TVA);Recette;Investissement;0
e722e43e-4ebc-4389-a674-c8bfaaa37839;A-;ATTRACTIVITE ET RAYONNEMENT;A-04;Tourisme;;;P126;Cite des civilisations du vin;Depense;Investissement;42000000
e882fa17-8912-49a5-be9d-b6f5b2c7e287;E-;PREVENTION DES RISQUES ET TRANQUILLITE;E-02;Prevention des risques;;;P048;Prevention Sante Environnement Securite;Depense;Subventions;0
e89b0f55-438d-4e82-9def-1d939573ef25;J-;PERFORMANCE DE LA COLLECTIVITE;J-05;Logistique et exploitation;;;P110;Moyens operationnels d'exploitation;Recette;Investissement;0
e92d4123-c6d9-4ff4-8070-5cc120d63457;A-;ATTRACTIVITE ET RAYONNEMENT;A-02;Patrimoine culturel;;;P005;Animation du patrimoine;Recette;Fonctionnement;0
e98b7ab3-bd9a-45d7-b149-1ddd4635188e;B-;DEVELOPPEMENT CULTUREL;B-02;Musees;;;P015;Musee des Beaux-Arts;Depense;Fonctionnement;240500
ea3ba290-9c73-49d7-a6a3-74cb08e8d433;B-;DEVELOPPEMENT CULTUREL;B-04;Dev. action artistiq et cult.;;;P139;Base sous-marine;Depense;Investissement;150000
ea462e54-32ff-4237-88b4-eea2a0dc005d;C-;DEVELOPPEMENT URBAIN DURABLE;C-01;Dev. eco, emploi et ens. sup.;;;P028;Innovation - Enseignement superieur;Depense;Subventions;134800
ea797814-6d59-4dd1-ba52-3c293015f90b;G-;Vie en societe;G-01;Petite enfance;;;P064;Patrimoine et equipements de la petite enfance;Recette;Investissement;2841463,62
eb11a422-6c8a-411f-85b0-c8fedb88006c;J-;PERFORMANCE DE LA COLLECTIVITE;J-04;Strategie et gestion immo.;;;P104;Travaux et gestion du patrimoine administratif;Depense;Fonctionnement;1494965
eb7164a8-4953-4a91-821c-05639f928d5e;J-;PERFORMANCE DE LA COLLECTIVITE;J-05;Logistique et exploitation;;;P110;Moyens operationnels d'exploitation;Depense;Fonctionnement;2871300
eba926a4-e61d-4c14-9c58-949fd8e23f6e;I-;PILOTAGE STRATEGIQUE DE LA COLLECTIVITE;I-05;E administration;;;P115;Amenagement numerique du territoire;Depense;Fonctionnement;31000
